id|username|passwordHash|role|createdAt
2b4936cb-089f-4379-92bd-82ab842c1688|doctor|f348d5628621f3d8f59c8cabda0f8eb0aa7e0514a90be7571020b1336f26c113|DOCTOR|2025-11-01T10:59:55.682693
22917d8d-d629-4974-a566-58732e908a56|admin|240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9|ADMIN|2025-11-01T11:05:10
16313661-88ec-4035-be37-540a75b4e4ee|alice|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-01T11:06:42
84267b92-7ce6-43f3-aaad-b033c537c64d|patient|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-01T13:20:13.828610
063ccb94-12eb-46ad-87d5-5d295df1c548|chenwei|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-04T08:05
5a6a7a86-5f3f-4d7a-8fd8-6d4f14f0ad50|huangxiaoyu|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-05T14:20
9ed5026a-3334-46f0-b36a-92bfeb721c88|wanglei|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-06T09:30
c4a7f5ab-d252-490a-9ade-6e0a812f05a7|zhouqin|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-07T10:10
f87e2a6d-550c-43ab-a752-37a5c5c9825b|linjiayan|d4587ea9ead060c13fd994f21ecfa7926272a78854a2c20136b10a3c9e53e71e|PATIENT|2025-11-08T10:50
176ffb53-2fcd-4668-bb25-6307ea3e05ee|patient_auto_8|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.873902
621b2e30-4196-4470-a974-e135abfe360e|patient_auto_9|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.884787
2565c0cf-5b78-43de-ae8d-ec10eafbbc2f|patient_auto_10|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.887021
a5bf8301-d978-4c21-8dc0-fc370f7b756f|patient_auto_11|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.888837
bf3e592c-c454-4cc5-8c98-c001d3d63591|patient_auto_12|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.890431
ed5308d7-1925-4068-b43a-fabb925baceb|patient_auto_13|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.892108
bea933a4-6a65-4f4c-ba8d-15a443ff3227|patient_auto_14|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.893865
852711e3-2091-47bd-846a-7f8a55d9f641|patient_auto_15|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.896287
2265bff5-57b6-4518-aa3a-1e30481cb3e9|patient_auto_16|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.899095
5b1aba6c-eb84-4c5a-842b-a722a8d447c2|patient_auto_17|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.901048
ea15a127-c90b-494a-a303-696735f99a61|patient_auto_18|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.902497
adc60465-d719-4adf-a471-729a74c9eabf|patient_auto_19|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.905513
6b58842c-ad27-4afc-9b9f-1d8bb015f75c|patient_auto_20|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.906966
91d3d6dd-ca9e-42ad-ae6e-c10fe6f8cf72|patient_auto_21|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.909559
d3289e03-cfa3-4007-89dd-6837a5e3e6f0|patient_auto_22|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.911348
80276e3f-fc49-482c-a658-032acbc60874|patient_auto_23|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.913530
83aa2068-1a5c-47d4-af27-212963908f18|patient_auto_24|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.914676
740ba832-05db-47ce-84b0-0f1749eba613|patient_auto_25|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.915803
e2692a17-a165-402f-94a8-d274ec229898|patient_auto_26|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.917084
af334bfe-525b-4fdf-8151-570ea5d7e0e5|patient_auto_27|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.918669
0a1a9a1f-2c4f-4ba5-a9ad-392ee439c1a3|patient_auto_28|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.919877
02787a3b-46be-4ba2-b489-afce5aeea309|patient_auto_29|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.921755
04ed2ddd-9fa8-401c-960c-3da2ef2868ff|patient_auto_30|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|PATIENT|2025-11-01T16:05:00.923221
564fceb4-4ff0-4918-963f-1f5a2247fb4c|doctor_auto_9|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.928275
2396508c-ac3f-4aee-9a37-f67097636543|doctor_auto_10|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.929767
43f280ca-1ec9-4073-98eb-c106ebc62ea7|doctor_auto_11|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.930947
b24804b8-3ff5-4dc4-a912-637544805a92|doctor_auto_12|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.932230
60b9b2c5-ab9f-44dd-abda-bc4fde815789|doctor_auto_13|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.933541
009bd367-8530-4f43-b437-b467f66f6930|doctor_auto_14|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.935722
ca096938-fff6-4738-aa4a-70ec95c944cd|doctor_auto_15|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.937691
6d0e9136-3f58-4a22-a2b0-7c68fe1a5d9c|doctor_auto_16|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.939040
afb8a4ae-dcea-47bd-b668-3596f7d5e49d|doctor_auto_17|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.940116
b6688d47-8c06-4821-a29e-c28c827c8737|doctor_auto_18|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.941105
4d705cc4-c6df-4626-8b21-30d04928e394|doctor_auto_19|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.943007
87db3859-6e28-401f-b035-6a8ca73057aa|doctor_auto_20|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.944492
5fb1df65-761e-48ba-94a4-e21fc3bfb104|doctor_auto_21|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.945453
9de08af5-77d3-4c97-ac02-399f93e90827|doctor_auto_22|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.946935
88feaa54-4ce5-4944-874b-978a392ac0d5|doctor_auto_23|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.947907
dede2a9a-caf3-4356-81c1-e2edc5c6555c|doctor_auto_24|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.948863
31e65942-1973-4025-bba0-c1c69fa21f53|doctor_auto_25|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.949773
7bfcc966-0dbe-473c-8d88-96f141648295|doctor_auto_26|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.950671
1418385d-e695-417a-9eee-c11cd11772c1|doctor_auto_27|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.951597
4c7adb47-d540-488c-bc2d-9b1c9f50a64a|doctor_auto_28|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.952515
9ffcca62-f643-4ea1-9037-d6598ac1be0d|doctor_auto_29|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.953452
6a305a49-b540-4016-907f-7297a22fa1cc|doctor_auto_30|fd3d1f047e53a5d4a95ce970dc8bc48cab0c7a85e69e3f92dcf4cf627591a984|DOCTOR|2025-11-01T16:05:00.955508
