id|name|department|phone|schedule|rating|title|level|specialties
2b4936cb-089f-4379-92bd-82ab842c1688|张医生|全科|010-12345678|周一至周五 09:00-17:00|4.7|主任医师|正高级|呼吸系统疾病、慢病管理
580bd327-3564-4856-9a1b-fc301a7b3aa9|王医生|骨科|010-22334455|周二周四 13:30-17:30|4.5|副主任医师|副高级|关节置换、运动损伤康复
1e6e7812-9cb9-4b3e-9112-2c6f29ea1961|李医生|心内科|010-98765432|周三周五 08:30-12:00|4.9|主任医师|正高级|冠心病、心律失常精准诊疗
3d9a3a2e-1bfe-4e2f-9b9e-24c45ea1ab39|赵医生|儿科|010-55667788|周一至周四 08:30-16:30|4.8|主任医师|正高级|儿童慢性咳嗽、营养与发育管理
485913d5-05e6-4c18-bf60-f49b1b57d66d|陈医生|皮肤科|010-66778899|周三周五 13:30-18:00|4.6|副主任医师|副高级|过敏性皮炎、光疗管理
7ad821a4-0b2f-4bb6-85a2-6be7a329a1f1|刘医生|神经内科|010-77889900|周二周四 09:00-17:00|4.8|主任医师|正高级|癫痫、帕金森病精准诊疗
acf0be0c-c851-41d4-bb51-51aa7da6d601|孙医生|肿瘤科|010-88990011|周一周三周五 14:00-18:00|4.7|主任医师|正高级|放疗评估、综合营养支持
2ab7d795-2e4d-4c57-8b43-2d98dd7a9c18|周医生|内分泌科|010-44556677|周一至周五 08:00-12:00|4.5|主治医师|中级|糖尿病、甲状腺功能异常
564fceb4-4ff0-4918-963f-1f5a2247fb4c|专家9医生|康复科|010-20001233|周三 12:00-17:30|4.9|副主任医师|副高级|皮肤免疫
2396508c-ac3f-4aee-9a37-f67097636543|专家10医生|全科|010-20001370|周四 8:00-13:30|4.0|主治医师|中级|慢病管理
43f280ca-1ec9-4073-98eb-c106ebc62ea7|专家11医生|呼吸科|010-20001507|周五 9:00-14:30|4.1|住院医师|初级|疑难杂症会诊
b24804b8-3ff5-4dc4-a912-637544805a92|专家12医生|儿科|010-20001644|周六 10:00-15:30|4.2|主任医师|正高级|精准用药
60b9b2c5-ab9f-44dd-abda-bc4fde815789|专家13医生|内分泌科|010-20001781|周日 11:00-16:30|4.3|副主任医师|副高级|术后康复
009bd367-8530-4f43-b437-b467f66f6930|专家14医生|心内科|010-20001918|周一 12:00-17:30|4.4|主治医师|中级|心理支持
ca096938-fff6-4738-aa4a-70ec95c944cd|专家15医生|骨科|010-20002055|周二 8:00-13:30|4.5|住院医师|初级|儿童保健
6d0e9136-3f58-4a22-a2b0-7c68fe1a5d9c|专家16医生|皮肤科|010-20002192|周三 9:00-14:30|4.6|主任医师|正高级|心血管调控
afb8a4ae-dcea-47bd-b668-3596f7d5e49d|专家17医生|神经内科|010-20002329|周四 10:00-15:30|4.7|副主任医师|副高级|肿瘤营养
b6688d47-8c06-4821-a29e-c28c827c8737|专家18医生|肿瘤科|010-20002466|周五 11:00-16:30|4.8|主治医师|中级|睡眠医学
4d705cc4-c6df-4626-8b21-30d04928e394|专家19医生|康复科|010-20002603|周六 12:00-17:30|4.9|住院医师|初级|皮肤免疫
87db3859-6e28-401f-b035-6a8ca73057aa|专家20医生|全科|010-20002740|周日 8:00-13:30|4.0|主任医师|正高级|慢病管理
5fb1df65-761e-48ba-94a4-e21fc3bfb104|专家21医生|呼吸科|010-20002877|周一 9:00-14:30|4.1|副主任医师|副高级|疑难杂症会诊
9de08af5-77d3-4c97-ac02-399f93e90827|专家22医生|儿科|010-20003014|周二 10:00-15:30|4.2|主治医师|中级|精准用药
88feaa54-4ce5-4944-874b-978a392ac0d5|专家23医生|内分泌科|010-20003151|周三 11:00-16:30|4.3|住院医师|初级|术后康复
dede2a9a-caf3-4356-81c1-e2edc5c6555c|专家24医生|心内科|010-20003288|周四 12:00-17:30|4.4|主任医师|正高级|心理支持
31e65942-1973-4025-bba0-c1c69fa21f53|专家25医生|骨科|010-20003425|周五 8:00-13:30|4.5|副主任医师|副高级|儿童保健
7bfcc966-0dbe-473c-8d88-96f141648295|专家26医生|皮肤科|010-20003562|周六 9:00-14:30|4.6|主治医师|中级|心血管调控
1418385d-e695-417a-9eee-c11cd11772c1|专家27医生|神经内科|010-20003699|周日 10:00-15:30|4.7|住院医师|初级|肿瘤营养
4c7adb47-d540-488c-bc2d-9b1c9f50a64a|专家28医生|肿瘤科|010-20003836|周一 11:00-16:30|4.8|主任医师|正高级|睡眠医学
9ffcca62-f643-4ea1-9037-d6598ac1be0d|专家29医生|康复科|010-20003973|周二 12:00-17:30|4.9|副主任医师|副高级|皮肤免疫
6a305a49-b540-4016-907f-7297a22fa1cc|专家30医生|全科|010-20004110|周三 8:00-13:30|4.0|主治医师|中级|慢病管理
